X,Y,OBJECTID,ADDRESS,ARTIST,TITLE,MEDIUM,YEAR,ART_TYPE,DISPLAY,LOCATION,NEIGHBORHOOD,SIZE_,WARD,DURATION,PROGRAM_SOURCE,ARTWORK
-77.019474425019155,38.89784459476035,149,600 5TH STREET NW,Alex Mayer,Untitled - Circles II,Mixed media,2007,Mural,"Washington Metropolitan Area Transit Authority building, located in lobby",600 5th street nw,dupont circle,10' x 30',2,Permanent,Art in the Metro,
-77.029398870954651,38.898141145840754,150,607 13TH STREET NW,Byron Peck,Scenes from Washington,Acrylic on wood,"1998, expanded in 2001",Mural,"Metro Center Station- 13th & G Street, located inside Metro station",607 13th street nw,downtown,15' x 60',2,Permanent,Art in the Metro,
-77.021095471142829,38.915346996403883,151,620 T STREET NW,,Howard Theatre Walk of Fame,,2014,,Howard Theater,620 t street nw,shaw,,1,Permanent,Inter District DMPED,
-77.021914335739638,38.886330110265497,152,7TH STREET SW AND MARYLAND AVENUE SW,William Wegman,Hello,Porcelain enamel,2004,Photography,"L' Enfant Plaza Metro Station, located inside station",7th street sw and maryland avenue sw,southwest,10' dia.,6,Permanent,Art in the Metro,
-77.020341366610722,38.899644240368922,153,H STREET NW (BETWEEN 603 & 604),Andrew T. Crawford,Dragon Gate,Forged and fabricated painted steel,2007,"Architectural, gate","Chinatown Alley, art gate located in between two buidlings",603 h street nw (btw 603 & 604),chinatown,,2,Permanent,Downtown Projects,
-77.002734331896022,38.909552292262354,154,NEW YORK AVENUE NE FROM FLORIDA AVENUE NE TO 9TH STREET NE,Kent Bloomer,Gateway Wings,Steel and aluminum,2013,Sculpture,New York Avenue Bridge,new york avenue ne from florida avenue ne to 9th street ne,noma,,5,Permanent,Intra District DDOT,
-77.005070669594332,38.900211613944315,155,H STREET NE FROM 1ST STREET NW TO 2ND ST NE (100 block),Deirdre Saunder,Hopscotch Bridge,Mosaic mixed media on aluminum plates,"Mural, mosaic","Mural, mosaic",H Street Bridge (behind Union Station),100 block of h street ne (btw 1st street ne & 2nd street ne),union station,"646' Long - Each figure is approx. 7' x3' x1/2""",6,Permanent,Neighborhood Projects,
-77.039779900759214,38.875688823742991,156,"ARLAND D. WILLIAMS JR. MEMORIAL BRIDGE, LIGHT TENDER'S HOUSE",Mikyoung Kim,Kaleidoscope Project,Dichroic and reflective acrylic,2010,Architectural,"Arland D. Williams Jr. Memorial Bridge, Light Tender's House, Near 14th Street Bridge over Potomac River & Ohio Drive, SW","arland d. williams jr. memorial bridge, light tender's house",east potomac park,6 1/2' x 7' each,2,Permanent,Neighborhood Projects,
-76.995175318954153,38.887701612853157,157,"INTERSECTION OF 8TH STREET SE, INDEPENDENCE AVENUE SE & NORTH CAROLINA AVENUE SE",Deirdre Saunder,Kim's Garden,"Stone, Glass, Concrete, Ceramic, Found Objects, Grout, Thinset w/latex, Mapei/Laticret and sanded grout, LEED materials",2013,Mosaic,Capitol Hill Community Park,"intersection of 8th street se, independence avenue se & north carolina avenue se",capitol hill,Base 6' layer of concrete Mosaic: 250 square feet  (15' diameter circle and surrounding concrete),6,Permanent,PABC Grant,
-77.040723141691629,38.904973094906758,158,CONNECTICUT AVENUE NW FROM L STREET NW TO JEFFERSON PLACE NW,Lighting Connecticut Avenue,Lighting Connecticut Avenue,LED lights,2012,Light installation,"Lighting installation Connecticut Avenue; lighting installed in medians of Connecticut Avenue, NW",connecticut avenue nw from l street nw to jefferson place nw,dupont circle,350 Linear feet,2,Permanent,Golden Triangle Bid,
-77.032732158873685,38.929524766390422,159,14TH STREET NW FROM IRVING STREET NW TO PARK ROAD NW,Jann Rossen-Queralt,Resonance,"Exterior porcelain floor tiles from Daltile Exterior, photographic images created utilizing enamel inks , fused glass",2009,Paving/Interactive,"Located throughout sidewalk as a series of mosaic medallion on 14th street between Park Road & Irving Street, NW",14th street nw from irving street nw to park road nw,columbia heights,Metro Plaza- 15' dia. Streetscape Medallions qty 17- 3' dia,1,Permanent,Neighborhood Projects,
-77.005769368249673,38.88093716972336,160,709 NEW JERSEY AVENUE SE,Robert Kent Wilson,Water Pylons,Tile Clad Paint and Anti Graffiti Coating and LED lights,2012,Installation,"New Jersey Avenue, SE- South East Freeway underpass 695",709 new jersey avenue se,navy yard,"Column span approx. 10,000 sq. ft.",6,Temporary,PABC Grant,
-76.998933525871834,38.836763780841991,161,501 MISSISSIPPI AVENUE SE,Cheryl Foster,Go With the Flow,"Mosaic, mixed media",2000,Mosaic mural,Oxon Run Outdoor Pool,441 Mississippi Avenue SE,congress heights,,8,Permanent,Community Initiatives,
-77.024652572320079,38.915038395097802,162,910 WESTMINSTER STREET NW,Anne Marchand,Community,Acrylic on concrete panels,2002,Mural,"Westminster Playground, mural located on building inside park",913 westminster street nw,shaw,34 x 34',1,Permanent,Community Initiatives,
-77.024652572320079,38.915038395097802,163,910 WESTMINSTER STREET NW,Jerome Meadows,Play Together and Live as One,"Mixed media, mosaic",2002,Mosaic mural,"Westminster Playground, mosaics located along perimeters inside park",913 westminster street nw,shaw,2 x 2 feet ea. (9 panels),1,Permanent,Community Initiatives,
-76.995198140302179,38.862198201609047,164,1101 HOWARD ROAD SE,Martha Jackson-Jarvis,River Spirits of the Anacostia,Glass tiles,2004,"Mural, mosaic","Anacostia Metro Station, mosaic mural located alongside top section of building","1138 howard road, se",anacostia,4 feet high by 400 feet long,8,Permanent,Art in the Metro,
-76.986384283508642,38.949969010152614,165,1333 EMERSON STREET NE,Stephanie Gassmann,North Michigan Park Recreation Center,Mixed media,2007,"Sculpture, suspended","North Michigan Park Recreation Center, located in Community Room",4925 13th street ne,north michigan park,"5' 6"" x 24' x 5"" D",5,Permanent,Intra District DPR,
-77.024546749242916,38.928057199405309,166,797 COLUMBIA ROAD NW,Joel Bergner with youth from Latin American Youth Center’s summer program at Roosevelt H.S,Cultivating the Rebirth,"Aerosol paint, mosaic",2010,"Mural, mosaics","Bruce Monroe Community Park, mural located facing sidewalk on Columbia Road, NW",797 columbia road nw,columbia heights,,1,Temporary,MuralsDC,
-77.017409462792685,38.974751008678375,167,327 CEDAR STREET NW,Sam Gilliam,From a Model to a Rainbow,Italian glass mosaic tile mounted on Aerolam panels,2011,Mosaic mural,"Mural located under metro underpass on Cedar Street, southern abutment wall",366 cedar street nw,takoma,14 x 39',4,Permanent,Community Initiatives,
-76.925866590024626,38.896971104854543,168,MARVIN GAYE PARK,Bryon Peck,Marvin Gaye,"Glass, fused ceramic tile on concrete",2010,Mural,"Marvin Gaye Park, Hillbrook, mosaic is located at entrance of park",5200 Foote Street NE,Hillbrook,5 x 5',7,Permanent,Commissioned Project,
-76.929641705673163,38.883941230407629,169,5032 D STREET SE,Chrysanne Stathacos,Natural Wishing,"Textile, string",2012,Installation,Sasha Bruce Youthwork,5032 D Street SE,Marshall Heights,,7,Temporary,2012- 5x5 Temporary Art Initiative,http://octo.dc.gov/sites/default/files/dc/sites/octo/multimedia_content/images/Natural_Wishing_Chrysanne_Stathacos.png
-77.00694857866678,38.90696426993064,170,51 N STREET NE,Donald E Camp & Fred Joiner,Composite Images From The Dust Shaped Heart Series,Banner,2014,Installation,<Null>,51 N Street NE,NoMa,,6,Temporary,2014- 5x5 Temporary Art Initiative,http://octo.dc.gov/sites/default/files/dc/sites/octo/multimedia_content/images/Composite Images from the Dust_Donald Camp.png
-76.983079524742905,38.870091507624799,171,1601 16TH STREET SE,Sheila Crider with Anacostia High School Students,The Four Seasons,"Printed images on vinyl, wrapped around Homasote panels",2011,Mural,Anacostia Senior High,1601 16th Street SE,Fairlawn,,8,Permanent,Commissioned Project,
-77.035953266337842,38.910886403072688,172,1529 16TH STREET NW,Wolfgang Weileder,Res Publica,Cardboard small scale construction of Supreme Coard Building,2012,"Sculpture, Installation",DC Jewish Community Center,1529 16th Street NW,Dupont Circle,,2,Temporary,2012- 5x5 Temporary Art Initiative,http://octo.dc.gov/sites/default/files/dc/sites/octo/multimedia_content/images/Res_Publica_Wolfgang_Weileder.png
-77.027037739910057,38.980288354069415,173,7420 GEORGIA AVENUE NW,Lize Mogel,Sight Lines,Self guided tour maps,2012,Tour,Juanita E. Thornton / Shepherd Park Neighborhood Library,7420 Georgia Avenue NW,Shepherd Park,,4,Temporary,2012- 5x5 Temporary Art Initiative,http://octo.dc.gov/sites/default/files/dc/sites/octo/multimedia_content/images/Sight_Lines_Lize_Mogel.png
-77.024768551253501,38.898699116426073,174,901 G STREET NW,Isabella Streffen,Hawk & Dove,Constructed small scale zeplin,2012,Installation,Martin Luther King Jr Memorial Library,901 G Street NW,Downtown,,2,Temporary,2012- 5x5 Temporary Art Initiative,http://octo.dc.gov/sites/default/files/dc/sites/octo/multimedia_content/images/Hawk_and_Dove_Isabella_Streffen.png
-76.99651773463215,38.884091909699784,175,403 7TH STREET SE,Lize Mogel,Sight Lines,Self guided tour maps,2012,Tour,Southeast Neighborhood Library,403 7th Street SE,Capitol Hill,,6,Temporary,2012- 5x5 Temporary Art Initiative,http://octo.dc.gov/sites/default/files/dc/sites/octo/multimedia_content/images/Sight_Lines_Lize_Mogel.png
-77.009732446939978,38.879032804610326,176,10 I STREET SW,"KUNSTrePUBLIK (Matthias Einhoff, Harry Sachs, and Philip Horst)",Fountains of D.C. (WT),Concrete mobile replica of the Temperance Fountain,2012,Sculpture,Capitol Skyline Hotel,10 'I' Street SW,Southwest Waterfront,,6,Temporary,2012- 5x5 Temporary Art Initiative,
-77.031965085035267,38.926929325764888,177,1371 HARVARD STREET NW (Old location),Office of Experiments (OOE) (Neal White with Tina O’Connell),1x1,"Performance, prints",2012,Performance,DC Commission on the Arts and Humanities,1371 Harvard Street NW,Columbia Heights,,1,Temporary,2012- 5x5 Temporary Art Initiative,http://octo.dc.gov/sites/default/files/dc/sites/octo/multimedia_content/images/1x1_Office_of_Experiments.png
-76.954203480108959,38.864879053411599,178,3660 ALABAMA AVENUE SE,Lize Mogel,Sight Lines,Self guided tour maps,2012,Tour,Francis A. Gregory Neighborhood Library,3660 Alabama Avenue SE,Twining,,7,Temporary,2012- 5x5 Temporary Art Initiative,http://octo.dc.gov/sites/default/files/dc/sites/octo/multimedia_content/images/Sight_Lines_Lize_Mogel.png
